shape,price,carat,color,clarity,type,cut
Round,1560,0.44,G,IF,natural,0
Round,3400,0.96,G,VS2,natural,1
Round,930,0.3,E,VVS1,natural,1
Round,2140,0.5,F,VVS2,natural,0
Round,1270,0.81,G,VS1,lab,0
Round,630,0.26,G,VS1,natural,0
Round,1820,1.15,I,VS1,lab,0
Emerald,1670,0.72,I,VVS2,natural,0
Round,8050,2.02,G,VVS2,lab,0
Round,1460,0.43,D,VVS1,natural,0
Round,1240,1.0,J,SI2,lab,0
Round,1210,0.46,F,SI1,natural,0
Round,1380,0.74,D,VS2,lab,0
Pear,16050,1.51,D,IF,natural,0
Round,1280,0.46,F,SI2,natural,0
Emerald,520,0.32,D,SI1,natural,0
Round,1080,0.42,I,IF,natural,0
Round,2570,0.5,D,VS1,natural,0
Round,2220,0.53,D,VVS1,natural,0
Round,2580,0.63,G,VS2,natural,0
Oval,670,0.67,H,VS2,lab,0
Round,930,0.32,E,VS1,natural,0
Round,3800,1.55,G,VS2,lab,0
Round,3470,0.72,G,VVS2,natural,0
Heart,690,0.3,H,VS2,natural,1
Round,8710,1.02,G,VVS2,natural,0
Cushion,13160,1.73,E,VS1,natural,0
Round,4610,0.8,D,VS2,natural,0
Oval,670,0.3,D,VS1,natural,0
Pear,500,0.3,H,SI1,natural,0
Round,2440,0.53,D,VS2,natural,0
Round,470,0.43,G,VS2,lab,0
Round,710,0.31,D,SI2,natural,0
Round,5220,2.1,I,SI1,lab,1
Round,2980,1.7,J,VS1,lab,1
Round,3120,0.8,F,SI1,natural,0
Oval,2960,1.61,I,SI1,lab,0
Round,4150,1.0,I,SI1,natural,0
Round,2230,1.0,D,VS2,lab,0
Round,1560,1.34,J,SI2,lab,0
Emerald,1770,0.52,D,VVS2,natural,0
Pear,920,0.78,I,VS2,lab,0
Round,2950,0.7,H,SI1,natural,0
Round,2950,0.63,E,VVS2,natural,0
Round,820,0.3,D,SI1,natural,0
Round,770,0.52,E,VS1,lab,0
Round,930,0.37,F,VS2,natural,0
Round,760,0.4,I,VS2,natural,0
Round,2330,0.5,F,VS1,natural,0
Round,380,0.31,F,VVS1,lab,0
Round,14670,1.79,H,SI1,natural,0
Round,1080,0.53,J,SI1,natural,1
Round,2470,0.5,D,VVS2,natural,0
Princess,6190,1.4,J,VS1,natural,1
Emerald,680,0.3,H,IF,natural,1
Emerald,940,0.47,E,SI1,natural,0
Round,2660,0.51,D,VS1,natural,0
Round,580,0.25,F,VS1,natural,0
Round,7900,1.04,H,VVS1,natural,0
Round,740,0.4,J,VVS1,natural,0
Round,2600,0.6,G,VS2,natural,0
Round,1420,0.45,G,VS1,natural,0
Round,780,0.62,E,SI1,lab,0
Oval,25550,2.1,E,VS1,natural,0
Pear,1880,0.51,D,VVS1,natural,0
Round,3320,0.7,E,VS2,natural,0
Pear,530,0.51,E,SI1,lab,0
Round,2430,0.53,F,VS1,natural,0
Round,1310,0.5,D,SI2,natural,1
Cushion,2390,0.7,E,VS1,natural,1
Round,850,0.31,G,VS1,natural,0
Cushion,7850,2.03,E,VS1,lab,0
Emerald,11260,1.7,F,VS2,natural,0
Round,1490,1.19,H,SI2,lab,0
Round,1870,0.5,D,VS1,natural,1
Round,2090,0.53,H,VS2,natural,0
Round,2150,1.31,I,VS1,lab,0
Round,2460,0.5,D,VVS1,natural,0
Cushion,4510,1.55,F,VS1,lab,0
Round,1340,0.5,D,SI1,natural,1
Round,790,0.3,G,SI1,natural,0
Round,740,0.27,D,VVS2,natural,0
Oval,320,0.32,D,SI1,lab,1
Pear,640,0.3,D,SI1,natural,1
Round,9230,1.8,J,SI2,natural,0
Round,3010,1.71,I,SI1,lab,0
Round,430,0.36,E,VVS2,lab,0
Princess,4760,1.0,G,VVS1,natural,0
Oval,1630,0.5,E,VVS1,natural,1
Emerald,11220,1.92,I,VS2,natural,0
Round,1920,1.13,H,VS2,lab,0
Emerald,730,0.53,H,SI2,natural,0
Round,5820,1.2,D,SI2,natural,0
Emerald,1600,0.5,D,VS1,natural,1
Round,4330,2.5,J,SI2,lab,0
Cushion,5050,1.2,H,SI1,natural,0
Round,1560,1.09,J,VVS2,lab,0
Round,1220,0.4,G,VS1,natural,0
Round,3820,2.0,I,SI2,lab,1
Oval,5780,2.41,I,VS1,lab,1
Emerald,1330,1.03,H,SI2,lab,0
Round,2200,1.07,H,VVS2,lab,0
Round,680,0.26,F,VVS2,natural,0
Round,10260,1.01,F,IF,natural,0
Round,1340,0.4,D,VS1,natural,0
Round,2010,0.51,F,VVS1,natural,1
Oval,1240,0.78,F,VS2,lab,0
Heart,1320,1.01,I,SI1,lab,0
Round,3500,2.01,J,VS2,lab,1
Round,740,0.3,H,VS2,natural,0
Round,2570,0.71,E,VS2,natural,1
Oval,5750,2.3,H,SI1,lab,1
Round,1330,0.4,E,VVS1,natural,1
Round,850,0.3,E,VS1,natural,0
Round,1070,0.4,F,SI1,natural,0
Round,2400,1.02,G,VVS2,lab,0
Round,2450,0.5,F,VVS1,natural,0
Oval,1220,0.4,D,VS2,natural,0
Radiant,1250,0.5,H,VS1,natural,0
Round,9450,1.08,G,IF,natural,0
Oval,640,0.32,D,SI1,natural,1
Round,1510,0.94,G,SI2,lab,0
Round,3760,0.9,D,SI1,natural,1
Round,830,0.3,E,VVS1,natural,0
Round,690,0.4,I,VVS2,natural,1
Pear,3930,1.47,E,VS2,lab,1
Pear,510,0.54,H,SI2,lab,0
Round,1480,0.5,F,VS1,natural,1
Round,1190,0.45,H,VS2,natural,0
Round,780,0.5,D,VS1,lab,0
Round,4950,1.0,H,SI2,natural,0
Round,9240,2.74,I,VS1,lab,0
Round,760,0.45,F,SI2,natural,1
Oval,600,0.3,F,SI1,natural,1
Round,1420,0.46,F,VS2,natural,0
Round,2530,0.5,E,VVS1,natural,0
Oval,6680,2.06,G,VS1,lab,0
Round,2630,0.52,D,VS1,natural,0
Round,690,0.3,E,SI1,natural,1
Pear,350,0.35,F,VS2,lab,1
Round,8040,1.5,J,SI2,natural,0
Round,2230,0.5,D,VS2,natural,0
Marquise,700,0.7,H,SI2,lab,0
Marquise,9670,2.08,E,VS2,lab,1
Princess,6280,1.5,J,SI1,natural,0
Round,1210,0.45,G,VVS2,natural,1
Round,790,0.25,D,VVS1,natural,0
Round,870,0.32,F,VS1,natural,0
Round,390,0.34,D,VS2,lab,0
Oval,3170,1.9,J,SI1,lab,0
Pear,6650,1.01,F,VS2,natural,1
Pear,1560,1.03,H,SI1,lab,0
Oval,1620,0.59,D,SI1,natural,0
Round,670,0.41,I,SI2,natural,1
Emerald,46290,3.0,E,VVS1,natural,1
Pear,630,0.59,G,VS2,lab,0
Round,1480,0.45,G,VVS1,natural,0
Oval,19250,2.9,J,SI2,natural,0
Emerald,1690,1.0,E,SI1,lab,0
Round,1660,0.5,F,VS1,natural,0
Emerald,1240,0.72,F,VVS2,lab,1
Pear,2510,1.5,I,SI2,lab,0
Princess,490,0.3,F,SI1,natural,1
Round,2770,1.19,G,VS1,lab,0
